GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC04_EST_VC19,HC04_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC04_EST_VC20,HC04_MOE_VC20
04000H0US21,21,Kentucky -- Not in metropolitan statistical area,717908,3096,482800,3372,360662,3112,235108,2745,12.2,0.3,7.7,0.3,3.6,0.2,23.0,0.7,8.2,0.2,5.3,0.2,3.3,0.2,14.7,0.5,14.3,0.3,11.6,0.3,8.8,0.3,20.4,0.7,12.0,0.2,11.4,0.3,10.6,0.3,13.3,0.5,14.7,0.2,15.4,0.3,15.8,0.4,12.7,0.5,16.9,0.3,19.9,0.3,22.3,0.4,9.9,0.5,9.6,0.2,12.5,0.3,15.1,0.4,3.2,0.3,8.5,0.2,11.4,0.3,14.4,0.4,1.8,0.2,2.0,0.1,2.8,0.2,3.6,0.2,0.4,0.1,1.6,0.1,2.1,0.1,2.5,0.1,0.5,0.1,37923,396,48513,485,58198,652,20400,412,52310,456,61846,608,71055,726,30597,629,34.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.4,(X)
04000H0US22,22,Louisiana -- Not in metropolitan statistical area,279579,1682,182264,1687,123374,1793,97315,1689,13.2,0.4,8.2,0.4,2.8,0.3,24.0,0.9,8.5,0.3,5.3,0.4,2.6,0.3,15.1,0.7,15.7,0.4,13.0,0.5,8.5,0.5,21.1,0.8,11.7,0.4,11.0,0.4,9.9,0.5,12.7,0.7,13.3,0.4,14.3,0.6,14.5,0.6,11.0,0.6,15.0,0.4,17.6,0.5,20.5,0.7,9.5,0.6,9.0,0.3,11.8,0.5,15.4,0.7,3.3,0.4,8.9,0.3,12.3,0.5,16.6,0.6,2.1,0.3,2.5,0.2,3.5,0.2,4.8,0.4,0.6,0.2,2.2,0.2,3.1,0.3,4.3,0.4,0.5,0.1,35951,564,48208,738,63098,1154,19654,424,53000,758,64555,971,79026,1299,29486,685,33.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),34.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),28.3,(X)
04000H0US23,23,Maine -- Not in metropolitan statistical area,229009,1297,145236,1518,113935,1415,83773,1520,7.2,0.3,4.0,0.3,1.7,0.2,14.3,0.7,6.7,0.3,3.1,0.3,1.7,0.2,14.0,0.7,12.4,0.4,8.4,0.4,5.7,0.4,20.3,0.8,12.0,0.4,11.1,0.4,9.5,0.4,14.5,0.8,14.7,0.4,14.3,0.4,13.7,0.5,14.9,0.9,19.3,0.5,22.6,0.7,23.9,0.7,12.3,0.6,12.0,0.3,15.7,0.4,18.5,0.5,4.5,0.4,10.3,0.3,13.9,0.5,16.7,0.6,3.4,0.4,3.1,0.2,4.1,0.3,4.9,0.4,0.8,0.2,2.3,0.2,3.0,0.2,3.7,0.3,0.9,0.2,46604,706,59504,869,68252,797,25801,587,60913,686,72554,939,81460,1161,37353,955,28.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),27.2,(X)
04000H0US24,24,Maryland -- Not in metropolitan statistical area,60904,767,41018,823,30645,731,19886,813,6.2,0.6,3.8,0.6,1.5,0.5,12.2,1.4,5.0,0.5,2.9,0.5,1.3,0.4,9.6,1.2,10.6,0.7,7.3,0.7,4.2,0.6,18.3,1.6,10.7,0.7,8.5,0.8,7.1,0.9,15.4,1.4,13.8,0.8,13.2,1.0,11.8,1.1,15.0,1.5,18.0,1.1,19.7,1.3,19.9,1.4,14.5,1.6,12.6,0.8,15.2,1.0,18.0,1.2,6.6,1.1,14.2,0.9,18.0,1.1,21.9,1.4,5.1,1.0,4.2,0.4,5.5,0.6,6.7,0.8,1.4,0.4,4.8,0.4,6.0,0.6,7.6,0.7,2.0,0.6,54435,1294,67413,1691,80881,2309,31168,1332,77045,2018,90346,2620,104071,2941,46462,2895,36.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.9,(X)
04000H0US25,25,Massachusetts -- Not in metropolitan statistical area,40412,561,24087,598,18727,595,16325,546,4.4,0.8,2.5,0.7,0.7,0.3,7.8,1.3,5.3,0.7,2.0,0.6,0.7,0.4,10.6,1.5,10.0,0.9,5.5,0.8,2.9,0.7,17.3,2.2,9.0,0.9,6.7,0.9,5.3,0.9,13.1,1.8,12.4,0.9,11.4,1.2,10.0,1.3,13.8,1.5,18.2,1.1,17.3,1.3,17.1,1.4,19.3,1.7,13.3,0.9,16.3,1.3,17.2,1.4,7.9,1.2,15.3,0.9,21.5,1.3,26.1,1.6,5.8,0.7,6.2,0.7,8.5,1.0,10.3,1.3,2.1,0.7,5.9,0.6,8.2,1.0,9.6,1.2,2.2,0.6,61245,1361,81203,2101,94369,3037,36079,2048,84511,2672,103745,4098,117464,5042,52690,3122,32.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),32.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.5,(X)
04000H0US26,26,Michigan -- Not in metropolitan statistical area,720488,2399,470429,2355,371426,2392,250059,1841,7.1,0.1,4.4,0.2,1.9,0.1,13.8,0.3,5.8,0.1,3.0,0.1,1.6,0.1,11.7,0.3,12.4,0.2,8.1,0.2,5.7,0.2,21.3,0.4,12.0,0.2,10.4,0.2,8.9,0.2,15.5,0.3,16.2,0.2,16.4,0.3,16.1,0.3,15.5,0.3,20.1,0.2,23.2,0.3,25.0,0.3,13.1,0.4,11.8,0.2,15.0,0.3,17.3,0.4,4.9,0.2,9.9,0.2,13.3,0.2,15.9,0.3,2.8,0.2,2.6,0.1,3.5,0.1,4.2,0.2,0.7,0.1,2.1,0.1,2.8,0.1,3.4,0.1,0.7,0.1,46376,250,57351,360,64913,469,26832,270,60109,299,71045,404,79256,485,36917,407,31.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),31.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.9,(X)
04000H0US27,27,Minnesota -- Not in metropolitan statistical area,505282,2951,333249,2303,268834,2511,172033,2002,5.4,0.2,2.9,0.1,1.0,0.1,11.6,0.4,5.5,0.2,2.3,0.1,1.1,0.1,12.3,0.5,10.5,0.2,6.4,0.2,4.3,0.2,19.2,0.5,10.1,0.2,8.5,0.2,6.6,0.2,14.0,0.5,14.8,0.2,14.0,0.3,12.7,0.3,16.6,0.5,20.4,0.3,22.4,0.3,23.5,0.3,15.2,0.4,13.8,0.2,17.4,0.3,19.8,0.3,5.8,0.3,12.8,0.2,17.2,0.3,20.3,0.3,3.5,0.2,3.6,0.1,4.9,0.1,5.9,0.2,0.7,0.1,3.0,0.1,4.0,0.1,4.8,0.2,0.9,0.1,53865,313,67267,428,75959,466,29574,432,68864,476,81860,651,90996,763,40459,546,31.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),30.7,(X)
04000H0US28,28,Mississippi -- Not in metropolitan statistical area,599457,2848,401230,3061,263407,2933,198227,2538,12.6,0.3,8.3,0.3,2.7,0.2,22.7,0.7,8.6,0.2,5.2,0.2,2.4,0.2,15.9,0.5,14.9,0.3,12.4,0.4,8.0,0.3,20.8,0.7,12.4,0.3,12.3,0.4,10.6,0.4,12.7,0.6,13.7,0.3,14.5,0.4,14.5,0.4,11.6,0.5,16.2,0.4,19.0,0.5,22.8,0.6,9.4,0.5,9.5,0.3,12.1,0.4,16.2,0.5,3.5,0.4,7.9,0.2,10.6,0.3,14.7,0.4,2.1,0.2,2.3,0.1,3.1,0.2,4.4,0.3,0.6,0.1,1.9,0.1,2.5,0.2,3.6,0.2,0.6,0.1,36378,446,46668,627,62157,766,19778,447,52320,544,61983,723,76625,980,30626,667,37.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),39.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),33.1,(X)
04000H0US29,29,Missouri -- Not in metropolitan statistical area,597421,3211,397590,2430,309194,2562,199831,2535,8.7,0.2,5.1,0.2,2.4,0.2,17.5,0.5,7.1,0.2,4.0,0.2,2.3,0.2,14.2,0.4,13.9,0.2,10.6,0.3,7.7,0.3,21.4,0.5,13.0,0.3,11.5,0.3,10.2,0.4,16.0,0.5,16.3,0.3,17.0,0.3,17.2,0.4,14.2,0.5,18.6,0.3,22.1,0.4,24.6,0.4,10.2,0.4,10.5,0.2,13.6,0.3,16.2,0.4,3.4,0.2,8.4,0.2,11.2,0.3,13.6,0.3,2.1,0.2,2.1,0.1,2.8,0.2,3.4,0.2,0.5,0.1,1.5,0.1,1.9,0.1,2.4,0.2,0.7,0.1,41122,301,51526,447,59586,517,23327,308,54048,423,63562,573,71530,636,32595,479,36.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),36.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),34.0,(X)
04000H0US30,30,Montana -- Not in metropolitan statistical area,268719,1821,169080,2314,137063,2366,99639,1551,7.1,0.3,4.1,0.3,1.8,0.2,13.3,0.7,5.7,0.3,2.7,0.3,1.7,0.2,11.3,0.7,11.0,0.5,6.9,0.4,5.1,0.3,18.4,0.9,11.7,0.4,9.5,0.4,8.2,0.4,15.9,0.7,14.6,0.4,14.0,0.5,13.2,0.5,15.4,0.7,19.0,0.5,21.7,0.6,22.8,0.7,14.1,0.7,11.9,0.4,15.5,0.5,17.2,0.5,5.3,0.5,11.9,0.4,16.0,0.5,18.8,0.6,4.1,0.5,3.6,0.2,5.0,0.3,5.9,0.3,1.1,0.2,3.4,0.2,4.6,0.3,5.4,0.3,1.1,0.2,49882,712,64051,727,71957,804,29189,727,66658,672,80668,1007,89014,1154,40451,844,34.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),35.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),32.3,(X)
