GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - No workers,Margin of Error; Total: - No workers,Estimate; Total: - 1 worker,Margin of Error; Total: - 1 worker,Estimate; Total: - 2 workers,Margin of Error; Total: - 2 workers,Estimate; Total: - 3 or more workers,Margin of Error; Total: - 3 or more workers,Estimate; Total: - 1-person household:,Margin of Error; Total: - 1-person household:,Estimate; Total: - 1-person household: - No workers,Margin of Error; Total: - 1-person household: - No workers,Estimate; Total: - 1-person household: - 1 worker,Margin of Error; Total: - 1-person household: - 1 worker,Estimate; Total: - 2-person household:,Margin of Error; Total: - 2-person household:,Estimate; Total: - 2-person household: - No workers,Margin of Error; Total: - 2-person household: - No workers,Estimate; Total: - 2-person household: - 1 worker,Margin of Error; Total: - 2-person household: - 1 worker,Estimate; Total: - 2-person household: - 2 workers,Margin of Error; Total: - 2-person household: - 2 workers,Estimate; Total: - 3-person household:,Margin of Error; Total: - 3-person household:,Estimate; Total: - 3-person household: - No workers,Margin of Error; Total: - 3-person household: - No workers,Estimate; Total: - 3-person household: - 1 worker,Margin of Error; Total: - 3-person household: - 1 worker,Estimate; Total: - 3-person household: - 2 workers,Margin of Error; Total: - 3-person household: - 2 workers,Estimate; Total: - 3-person household: - 3 workers,Margin of Error; Total: - 3-person household: - 3 workers,Estimate; Total: - 4-or-more-person household:,Margin of Error; Total: - 4-or-more-person household:,Estimate; Total: - 4-or-more-person household: - No workers,Margin of Error; Total: - 4-or-more-person household: - No workers,Estimate; Total: - 4-or-more-person household: - 1 worker,Margin of Error; Total: - 4-or-more-person household: - 1 worker,Estimate; Total: - 4-or-more-person household: - 2 workers,Margin of Error; Total: - 4-or-more-person household: - 2 workers,Estimate; Total: - 4-or-more-person household: - 3 or more workers,Margin of Error; Total: - 4-or-more-person household: - 3 or more workers
04000H0US28,28,Mississippi -- Not in metropolitan statistical area,599457,2848,216128,2546,226908,2956,134369,2478,22052,934,175871,2654,107548,1879,68323,1998,202544,2678,74226,1740,75946,1808,52372,1589,93683,2039,17806,959,36919,1212,31769,1195,7189,567,127359,1941,16548,860,45720,1655,50228,1713,14863,847
04000H0US29,29,Missouri -- Not in metropolitan statistical area,597421,3211,207521,2201,208003,2719,154175,2361,27722,1070,166228,2402,100025,1970,66203,1725,228677,2120,85551,1307,75409,1419,67717,1607,84251,1874,11753,832,28550,1208,33994,1101,9954,659,118265,1700,10192,580,37841,1125,52464,1321,17768,821
04000H0US30,30,Montana -- Not in metropolitan statistical area,268719,1821,80743,1114,98893,1575,76697,1533,12386,584,81250,1492,41349,1031,39901,1116,104526,1560,32767,878,32540,900,39219,1028,34957,1168,3636,326,11200,690,14762,778,5359,441,47986,1132,2991,293,15252,731,22716,836,7027,446
04000H0US31,31,Nebraska -- Not in metropolitan statistical area,275050,1439,71022,928,96531,1287,91990,1467,15507,620,81972,1532,40183,1011,41789,972,104711,1215,26637,577,31595,789,46479,879,32916,1095,2251,253,9564,574,15351,730,5750,419,55451,972,1951,257,13583,641,30160,839,9757,506
04000H0US32,32,Nevada -- Not in metropolitan statistical area,105049,1047,34495,978,40691,1434,25294,815,4569,544,28749,1111,15332,786,13417,781,41504,1164,16269,676,13239,756,11996,687,13985,792,1660,256,5811,569,5261,517,1253,251,20811,833,1234,236,8224,566,8037,574,3316,457
04000H0US33,33,New Hampshire -- Not in metropolitan statistical area,200073,1458,56220,1000,68825,1419,61983,1645,13045,665,55606,1168,28795,936,26811,948,81078,1412,23565,765,25158,880,32355,1111,29449,1078,2464,329,8580,626,13106,765,5299,430,33940,884,1396,251,8276,575,16522,798,7746,493
04000H0US35,35,New Mexico -- Not in metropolitan statistical area,244646,1694,86101,1466,94904,1790,54091,1407,9550,584,76199,1498,44739,1277,31460,1159,82384,1524,30555,976,28977,1023,22852,1124,34848,1087,6333,633,14080,733,11509,749,2926,332,51215,1212,4474,418,20387,951,19730,824,6624,443
04000H0US36,36,New York -- Not in metropolitan statistical area,547601,2130,180760,1730,192956,1806,144937,2083,28948,835,161099,1831,94062,1397,67037,1213,204319,1602,70205,964,68280,1068,65834,1344,80475,1486,9391,611,25912,1028,33853,994,11319,542,101708,1385,7102,552,31727,856,45250,1035,17629,761
04000H0US37,37,North Carolina -- Not in metropolitan statistical area,862931,3683,310161,3168,311643,2962,205140,2614,35987,1256,248408,2842,153785,2359,94623,1783,320681,2650,121117,1975,110442,1997,89122,1757,132126,2769,19870,937,49509,1432,50016,1727,12731,712,161716,2675,15389,1036,57069,1546,66002,1548,23256,1082
04000H0US38,38,North Dakota -- Not in metropolitan statistical area,154721,1399,36604,771,58138,1253,51506,1212,8473,574,47987,1169,20494,658,27493,933,58724,1003,13763,507,17335,634,27626,874,18480,734,1012,194,5330,420,8710,504,3428,365,29530,649,1335,189,7980,414,15170,595,5045,408
