GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0400001US10,10,Delaware -- Urban,779085,2827,513282,2974,188683,1728,2791,461,34029,1000,456,263,16774,1741,23070,1393,2288,467,20782,1452
0400001US11,11,District of Columbia -- Urban,672391,*****,273471,1971,321062,1247,1757,465,25558,570,289,84,30961,2100,19293,1277,2665,452,16628,1199
0400001US12,12,Florida -- Urban,18483636,12016,13812459,17094,3102323,7793,47534,2186,520539,3773,11427,1037,510438,11613,478916,8933,85192,3609,393724,7388
0400001US13,13,Georgia -- Urban,7726313,10149,4092219,12460,2801885,7530,24941,1956,366592,2960,4339,677,240998,7815,195339,5834,28640,1976,166699,5649
0400001US15,15,Hawaii -- Urban,1313875,3004,313175,2502,25371,936,2265,290,522878,3483,126679,2477,13022,1194,310485,4221,9172,866,301313,4172
0400001US16,16,Idaho -- Urban,1178640,4244,1064836,5383,10134,712,10004,1074,19752,1001,1902,433,37028,2875,34984,1819,4993,805,29991,1617
0400001US17,17,Illinois -- Urban,11404710,4816,7848460,13097,1809395,3704,27261,1819,663606,2679,3911,447,759819,11054,292258,5304,61158,3241,231100,4012
0400001US18,18,Indiana -- Urban,4814249,5240,3804540,6959,600180,3033,11195,743,127909,1589,2137,371,136332,4471,131956,3695,17536,1326,114420,3379
0400001US19,19,Iowa -- Urban,2015039,2607,1756884,3857,99275,1498,7087,790,64951,1123,2530,379,33674,2196,50638,2069,4089,604,46549,1907
0400001US20,20,Kansas -- Urban,2163026,2799,1768328,4484,160936,1726,16359,1205,76755,1113,1678,368,58397,2952,80573,2405,8107,818,72466,2120
0400001US21,21,Kentucky -- Urban,2613475,5642,2122926,6142,324969,2073,6113,744,53183,1251,1740,235,31522,2213,73022,2466,5446,603,67576,2565
0400001US22,22,Louisiana -- Urban,3420898,6574,1939255,6860,1275353,5177,16447,1066,74526,1038,1018,258,47748,3049,66551,2982,6910,902,59641,2879
0400001US23,23,Maine -- Urban,513690,3271,471614,3220,12908,784,3164,424,9948,633,112,56,1253,293,14691,931,442,155,14249,892
0400001US24,24,Maryland -- Urban,5236464,4843,2743193,7077,1716224,4094,14469,1110,358134,1932,2525,306,231290,5592,170629,4546,19979,1739,150650,3928
0400001US25,25,Massachusetts -- Urban,6247415,4793,4846219,7539,493339,4233,13626,1251,416688,2374,2029,244,275617,6662,199897,5133,30549,1971,169348,4227
0400001US26,26,Michigan -- Urban,7405054,4962,5421107,5870,1344460,3504,32056,1392,273985,2385,2345,327,100682,3663,230419,3894,20536,1594,209883,4078
0400001US27,27,Minnesota -- Urban,4048041,3493,3238207,5169,318103,3173,28377,1392,243324,2033,1542,267,87028,3237,131460,4022,11380,1013,120080,3776
0400001US28,28,Mississippi -- Urban,1480302,5582,732937,5071,681501,4832,3851,565,22304,1059,368,161,16178,1412,23163,1694,2142,442,21021,1596
