GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC03_EST_VC25,HC03_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC03_EST_VC26,HC03_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC03_EST_VC27,HC03_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC03_EST_VC28,HC03_MOE_VC28,HC01_EST_VC29,HC01_MOE_VC29,HC02_EST_VC29,HC02_MOE_VC29,HC03_EST_VC29,HC03_MOE_VC29,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC03_EST_VC30,HC03_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC03_EST_VC31,HC03_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC03_EST_VC32,HC03_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC03_EST_VC33,HC03_MOE_VC33,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39
Id,Id2,Geography,Total; Estimate; Civilian noninstitutionalized population,Total; Margin of Error; Civilian noninstitutionalized population,Private Coverage; Estimate; Civilian noninstitutionalized population,Private Coverage; Margin of Error; Civilian noninstitutionalized population,Percent Private Coverage; Estimate; Civilian noninstitutionalized population,Percent Private Coverage; Margin of Error; Civilian noninstitutionalized population,Total; Estimate; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination,Total; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination,Private Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination,Private Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination,Percent Private Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination,Percent Private Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination,Total; Estimate; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - Under 19,Total; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - Under 19,Private Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - Under 19,Private Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - Under 19,Percent Private Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - Under 19,Percent Private Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - Under 19,Total; Estimate; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - 19 to 64 years,Total; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - 19 to 64 years,Private Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - 19 to 64 years,Private Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - 19 to 64 years,Percent Private Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - 19 to 64 years,Percent Private Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - 19 to 64 years,Total; Estimate; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - 65 years and over,Total; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - 65 years and over,Private Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - 65 years and over,Private Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - 65 years and over,Percent Private Coverage; Estimate; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - 65 years and over,Percent Private Coverage; Margin of Error; COVERAGE ALONE OR IN COMBINATION - Employer-based health insurance alone or in combination - 65 years and over,Total; Estimate; Direct-purchase health insurance alone or in combination,Total; Margin of Error; Direct-purchase health insurance alone or in combination,Private Coverage; Estimate; Direct-purchase health insurance alone or in combination,Private Coverage; Margin of Error; Direct-purchase health insurance alone or in combination,Percent Private Coverage; Estimate; Direct-purchase health insurance alone or in combination,Percent Private Coverage; Margin of Error; Direct-purchase health insurance alone or in combination,Total; Estimate; Direct-purchase health insurance alone or in combination - Under 19,Total; Margin of Error; Direct-purchase health insurance alone or in combination - Under 19,Private Coverage; Estimate; Direct-purchase health insurance alone or in combination - Under 19,Private Coverage; Margin of Error; Direct-purchase health insurance alone or in combination - Under 19,Percent Private Coverage; Estimate; Direct-purchase health insurance alone or in combination - Under 19,Percent Private Coverage; Margin of Error; Direct-purchase health insurance alone or in combination - Under 19,Total; Estimate; Direct-purchase health insurance alone or in combination - 19 to 64 years,Total; Margin of Error; Direct-purchase health insurance alone or in combination - 19 to 64 years,Private Coverage; Estimate; Direct-purchase health insurance alone or in combination - 19 to 64 years,Private Coverage; Margin of Error; Direct-purchase health insurance alone or in combination - 19 to 64 years,Percent Private Coverage; Estimate; Direct-purchase health insurance alone or in combination - 19 to 64 years,Percent Private Coverage; Margin of Error; Direct-purchase health insurance alone or in combination - 19 to 64 years,Total; Estimate; Direct-purchase health insurance alone or in combination - 65 years and over,Total; Margin of Error; Direct-purchase health insurance alone or in combination - 65 years and over,Private Coverage; Estimate; Direct-purchase health insurance alone or in combination - 65 years and over,Private Coverage; Margin of Error; Direct-purchase health insurance alone or in combination - 65 years and over,Percent Private Coverage; Estimate; Direct-purchase health insurance alone or in combination - 65 years and over,Percent Private Coverage; Margin of Error; Direct-purchase health insurance alone or in combination - 65 years and over,Total; Estimate; Tricare/military health insurance alone or in combination,Total; Margin of Error; Tricare/military health insurance alone or in combination,Private Coverage; Estimate; Tricare/military health insurance alone or in combination,Private Coverage; Margin of Error; Tricare/military health insurance alone or in combination,Percent Private Coverage; Estimate; Tricare/military health insurance alone or in combination,Percent Private Coverage; Margin of Error; Tricare/military health insurance alone or in combination,Total; Estimate; Tricare/military health insurance alone or in combination - Under 19,Total; Margin of Error; Tricare/military health insurance alone or in combination - Under 19,Private Coverage; Estimate; Tricare/military health insurance alone or in combination - Under 19,Private Coverage; Margin of Error; Tricare/military health insurance alone or in combination - Under 19,Percent Private Coverage; Estimate; Tricare/military health insurance alone or in combination - Under 19,Percent Private Coverage; Margin of Error; Tricare/military health insurance alone or in combination - Under 19,Total; Estimate; Tricare/military health insurance alone or in combination - 19 to 64 years,Total; Margin of Error; Tricare/military health insurance alone or in combination - 19 to 64 years,Private Coverage; Estimate; Tricare/military health insurance alone or in combination - 19 to 64 years,Private Coverage; Margin of Error; Tricare/military health insurance alone or in combination - 19 to 64 years,Percent Private Coverage; Estimate; Tricare/military health insurance alone or in combination - 19 to 64 years,Percent Private Coverage; Margin of Error; Tricare/military health insurance alone or in combination - 19 to 64 years,Total; Estimate; Tricare/military health insurance alone or in combination - 65 years and over,Total; Margin of Error; Tricare/military health insurance alone or in combination - 65 years and over,Private Coverage; Estimate; Tricare/military health insurance alone or in combination - 65 years and over,Private Coverage; Margin of Error; Tricare/military health insurance alone or in combination - 65 years and over,Percent Private Coverage; Estimate; Tricare/military health insurance alone or in combination - 65 years and over,Percent Private Coverage; Margin of Error; Tricare/military health insurance alone or in combination - 65 years and over,Total; Estimate; PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Total; Margin of Error; PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Private Coverage; Estimate; PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Private Coverage; Margin of Error; PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Percent Private Coverage; Estimate; PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Percent Private Coverage; Margin of Error; PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION - Below 138 percent of the poverty threshold,Total; Estimate; PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Total; Margin of Error; PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Private Coverage; Estimate; PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Private Coverage; Margin of Error; PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Percent Private Coverage; Estimate; PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,Percent Private Coverage; Margin of Error; PRIVATE HEALTH INSURANCE ALONE OR IN COMBINATION - At or above 138 percent of the poverty threshold,"Total; Estimate; Worked full-time, year-round (19-64 years)","Total; Margin of Error; Worked full-time, year-round (19-64 years)","Private Coverage; Estimate; Worked full-time, year-round (19-64 years)","Private Coverage; Margin of Error; Worked full-time, year-round (19-64 years)","Percent Private Coverage; Estimate; Worked full-time, year-round (19-64 years)","Percent Private Coverage; Margin of Error; Worked full-time, year-round (19-64 years)",Total; Estimate; Under 6,Total; Margin of Error; Under 6,Private Coverage; Estimate; Under 6,Private Coverage; Margin of Error; Under 6,Percent Private Coverage; Estimate; Under 6,Percent Private Coverage; Margin of Error; Under 6,Total; Estimate; 6 to 18 years,Total; Margin of Error; 6 to 18 years,Private Coverage; Estimate; 6 to 18 years,Private Coverage; Margin of Error; 6 to 18 years,Percent Private Coverage; Estimate; 6 to 18 years,Percent Private Coverage; Margin of Error; 6 to 18 years,Total; Estimate; 19 to 25 years,Total; Margin of Error; 19 to 25 years,Private Coverage; Estimate; 19 to 25 years,Private Coverage; Margin of Error; 19 to 25 years,Percent Private Coverage; Estimate; 19 to 25 years,Percent Private Coverage; Margin of Error; 19 to 25 years,Total; Estimate; 26 to 34 years,Total; Margin of Error; 26 to 34 years,Private Coverage; Estimate; 26 to 34 years,Private Coverage; Margin of Error; 26 to 34 years,Percent Private Coverage; Estimate; 26 to 34 years,Percent Private Coverage; Margin of Error; 26 to 34 years,Total; Estimate; 35 to 44 years,Total; Margin of Error; 35 to 44 years,Private Coverage; Estimate; 35 to 44 years,Private Coverage; Margin of Error; 35 to 44 years,Percent Private Coverage; Estimate; 35 to 44 years,Percent Private Coverage; Margin of Error; 35 to 44 years,Total; Estimate; 45 to 54 years,Total; Margin of Error; 45 to 54 years,Private Coverage; Estimate; 45 to 54 years,Private Coverage; Margin of Error; 45 to 54 years,Percent Private Coverage; Estimate; 45 to 54 years,Percent Private Coverage; Margin of Error; 45 to 54 years,Total; Estimate; 55 to 64 years,Total; Margin of Error; 55 to 64 years,Private Coverage; Estimate; 55 to 64 years,Private Coverage; Margin of Error; 55 to 64 years,Percent Private Coverage; Estimate; 55 to 64 years,Percent Private Coverage; Margin of Error; 55 to 64 years,Total; Estimate; 65 to 74 years,Total; Margin of Error; 65 to 74 years,Private Coverage; Estimate; 65 to 74 years,Private Coverage; Margin of Error; 65 to 74 years,Percent Private Coverage; Estimate; 65 to 74 years,Percent Private Coverage; Margin of Error; 65 to 74 years,Total; Estimate; 75 years and over,Total; Margin of Error; 75 years and over,Private Coverage; Estimate; 75 years and over,Private Coverage; Margin of Error; 75 years and over,Percent Private Coverage; Estimate; 75 years and over,Percent Private Coverage; Margin of Error; 75 years and over,Total; Estimate; COVERAGE ALONE - Private health insurance alone,Total; Margin of Error; COVERAGE ALONE - Private health insurance alone,Private Coverage; Estimate; COVERAGE ALONE - Private health insurance alone,Private Coverage; Margin of Error; COVERAGE ALONE - Private health insurance alone,Percent Private Coverage; Estimate; COVERAGE ALONE - Private health insurance alone,Percent Private Coverage; Margin of Error; COVERAGE ALONE - Private health insurance alone,Total; Estimate; COVERAGE ALONE - Private health insurance alone - Employer-based health insurance alone,Total; Margin of Error; COVERAGE ALONE - Private health insurance alone - Employer-based health insurance alone,Private Coverage; Estimate; COVERAGE ALONE - Private health insurance alone - Employer-based health insurance alone,Private Coverage; Margin of Error; COVERAGE ALONE - Private health insurance alone - Employer-based health insurance alone,Percent Private Coverage; Estimate; COVERAGE ALONE - Private health insurance alone - Employer-based health insurance alone,Percent Private Coverage; Margin of Error; COVERAGE ALONE - Private health insurance alone - Employer-based health insurance alone,Total; Estimate; COVERAGE ALONE - Private health insurance alone - Direct-purchase health insurance alone,Total; Margin of Error; COVERAGE ALONE - Private health insurance alone - Direct-purchase health insurance alone,Private Coverage; Estimate; COVERAGE ALONE - Private health insurance alone - Direct-purchase health insurance alone,Private Coverage; Margin of Error; COVERAGE ALONE - Private health insurance alone - Direct-purchase health insurance alone,Percent Private Coverage; Estimate; COVERAGE ALONE - Private health insurance alone - Direct-purchase health insurance alone,Percent Private Coverage; Margin of Error; COVERAGE ALONE - Private health insurance alone - Direct-purchase health insurance alone,Total; Estimate; COVERAGE ALONE - Private health insurance alone - Tricare/military health coverage alone,Total; Margin of Error; COVERAGE ALONE - Private health insurance alone - Tricare/military health coverage alone,Private Coverage; Estimate; COVERAGE ALONE - Private health insurance alone - Tricare/military health coverage alone,Private Coverage; Margin of Error; COVERAGE ALONE - Private health insurance alone - Tricare/military health coverage alone,Percent Private Coverage; Estimate; COVERAGE ALONE - Private health insurance alone - Tricare/military health coverage alone,Percent Private Coverage; Margin of Error; COVERAGE ALONE - Private health insurance alone - Tricare/military health coverage alone
0400000US01,01,Alabama,4770692,802,3189772,15881,66.9,0.3,(X),(X),2551950,14156,53.5,0.3,1170330,1492,559744,6195,47.8,0.5,2858486,1909,1731396,9285,60.6,0.3,741876,704,260810,2862,35.2,0.4,(X),(X),658655,7973,13.8,0.2,1170330,1492,78532,2741,6.7,0.2,2858486,1909,341770,4965,12.0,0.2,741876,704,238353,3033,32.1,0.4,(X),(X),212241,4725,4.4,0.1,1170330,1492,37134,1903,3.2,0.2,2858486,1909,94527,2823,3.3,0.1,741876,704,80580,1506,10.9,0.2,1236841,13002,379694,6431,30.7,0.5,3481843,12699,2773054,15845,79.6,0.3,1431450,6376,1256192,7133,87.8,0.3,350412,1841,170793,2965,48.7,0.8,819918,2434,481788,5243,58.8,0.6,459887,2856,318153,3600,69.2,0.6,542927,2287,359724,3715,66.3,0.6,586122,1417,428985,3390,73.2,0.6,638765,1016,481130,2812,75.3,0.4,630785,751,471067,2751,74.7,0.4,443548,855,283673,2299,64.0,0.5,298328,809,194459,1837,65.2,0.6,(X),(X),2433760,13595,51.0,0.3,(X),(X),2074583,12872,43.5,0.3,(X),(X),290662,5248,6.1,0.1,(X),(X),68515,2837,1.4,0.1
0400000US02,02,Alaska,714038,670,470575,4291,65.9,0.6,(X),(X),387628,4142,54.3,0.6,195335,519,91554,2243,46.9,1.2,445510,877,260215,2517,58.4,0.6,73193,300,35859,871,49.0,1.2,(X),(X),54495,1971,7.6,0.3,195335,519,8746,731,4.5,0.4,445510,877,35173,1529,7.9,0.3,73193,300,10576,654,14.4,0.9,(X),(X),69216,2732,9.7,0.4,195335,519,23707,1291,12.1,0.7,445510,877,37493,1650,8.4,0.4,73193,300,8016,734,11.0,1.0,111728,3077,27271,1823,24.4,1.4,596715,3036,440836,4307,73.9,0.6,222754,2109,183424,2090,82.3,0.6,65093,645,35965,1048,55.3,1.5,130242,875,79640,1702,61.1,1.2,71319,915,45613,1173,64.0,1.3,97364,922,61706,1211,63.4,1.2,88504,509,62889,1055,71.1,1.1,94404,552,68248,1019,72.3,1.1,93919,371,70227,925,74.8,0.9,50353,330,32578,843,64.7,1.6,22840,262,13709,467,60.0,1.9,(X),(X),370046,3877,51.8,0.5,(X),(X),305315,4053,42.8,0.6,(X),(X),28875,1402,4.0,0.2,(X),(X),35856,1914,5.0,0.3
0400000US04,04,Arizona,6701990,926,4180625,16113,62.4,0.2,(X),(X),3305600,15396,49.3,0.2,1717624,2033,826189,7298,48.1,0.4,3889714,2147,2183353,9767,56.1,0.3,1094652,532,296058,3570,27.0,0.3,(X),(X),897109,7061,13.4,0.1,1717624,2033,135708,3452,7.9,0.2,3889714,2147,417767,4679,10.7,0.1,1094652,532,343634,3344,31.4,0.3,(X),(X),217051,4948,3.2,0.1,1717624,2033,40455,2043,2.4,0.1,3889714,2147,90909,2942,2.3,0.1,1094652,532,85687,2235,7.8,0.2,1643494,14681,422384,7002,25.7,0.4,4997712,14726,3719726,16901,74.4,0.2,1983639,8085,1604864,8451,80.9,0.3,520741,1792,275034,3832,52.8,0.7,1196883,2694,696972,5691,58.2,0.4,652637,3123,402393,3989,61.7,0.5,788510,2872,488101,3953,61.9,0.4,818945,986,548650,3735,67.0,0.5,827674,757,577079,3760,69.7,0.4,801948,595,571410,3548,71.3,0.4,640817,485,352716,2786,55.0,0.4,453835,436,268270,2079,59.1,0.4,(X),(X),3277148,16127,48.9,0.2,(X),(X),2774501,14699,41.4,0.2,(X),(X),431175,6542,6.4,0.1,(X),(X),71472,2984,1.1,0.1
0400000US05,05,Arkansas,2924569,443,1782528,10464,61.0,0.4,(X),(X),1378542,9786,47.1,0.3,744956,1379,305821,4454,41.1,0.6,1719450,1603,959249,6570,55.8,0.4,460163,630,113472,2402,24.7,0.5,(X),(X),410485,5881,14.0,0.2,744956,1379,44438,1933,6.0,0.3,1719450,1603,201997,3904,11.7,0.2,460163,630,164050,2640,35.7,0.6,(X),(X),97058,2627,3.3,0.1,744956,1379,15679,1008,2.1,0.1,1719450,1603,39618,1699,2.3,0.1,460163,630,41761,1353,9.1,0.3,787984,10454,210584,4175,26.7,0.4,2098229,10355,1546494,10840,73.7,0.4,888011,4488,744784,5288,83.9,0.3,228950,1352,94911,2682,41.5,1.1,516006,1937,261413,3700,50.7,0.7,281579,2204,181895,2531,64.6,0.8,334880,1881,209763,2650,62.6,0.7,358671,1197,242334,2835,67.6,0.7,374802,1003,263260,2546,70.2,0.6,369518,732,255280,2318,69.1,0.6,273250,645,159602,2121,58.4,0.8,186913,622,114070,1890,61.0,1.0,(X),(X),1360968,8603,46.5,0.3,(X),(X),1153312,8750,39.4,0.3,(X),(X),179654,3925,6.1,0.1,(X),(X),28002,1610,1.0,0.1
0400000US06,06,California,38488069,2222,24089554,75303,62.6,0.2,(X),(X),19700056,65629,51.2,0.2,9637773,4049,4615491,23477,47.9,0.2,23797372,4336,13491445,40985,56.7,0.2,5052924,1172,1593120,8807,31.5,0.2,(X),(X),4708057,24786,12.2,0.1,9637773,4049,754200,9488,7.8,0.1,23797372,4336,2772992,14965,11.7,0.1,5052924,1172,1180865,8223,23.4,0.2,(X),(X),679721,10319,1.8,0.1,9637773,4049,156660,4448,1.6,0.1,23797372,4336,305902,5901,1.3,0.1,5052924,1172,217159,3632,4.3,0.1,8596420,50952,2108760,15280,24.5,0.2,29572409,50240,21770422,79100,73.6,0.2,11668224,17862,9520253,18705,81.6,0.2,2986296,4408,1601619,10367,53.6,0.3,6651477,6242,3799605,18451,57.1,0.3,3910004,6564,2447859,9619,62.6,0.2,5076785,5731,3232270,12620,63.7,0.2,5101749,1996,3485524,12692,68.3,0.3,5147441,1634,3656183,11923,71.0,0.2,4561393,1135,3244891,11219,71.1,0.2,2919552,1011,1522273,7473,52.1,0.3,2133372,1290,1099330,6703,51.5,0.3,(X),(X),20128960,53254,52.3,0.1,(X),(X),17026718,48582,44.2,0.1,(X),(X),2834149,16714,7.4,0.1,(X),(X),268093,6537,0.7,0.1
0400000US08,08,Colorado,5344703,1139,3750132,13946,70.2,0.3,(X),(X),2955283,14524,55.3,0.3,1321888,1515,694322,6034,52.5,0.5,3330901,1893,2046569,9713,61.4,0.3,691914,650,214392,2615,31.0,0.4,(X),(X),755066,7056,14.1,0.1,1321888,1515,115675,2670,8.8,0.2,3330901,1893,422154,4729,12.7,0.1,691914,650,217237,2509,31.4,0.4,(X),(X),224891,4730,4.2,0.1,1321888,1515,59846,2286,4.5,0.2,3330901,1893,107508,2824,3.2,0.1,691914,650,57537,1731,8.3,0.3,928005,11206,296037,5002,31.9,0.5,4366349,11281,3416419,15199,78.2,0.3,1847291,5975,1568403,7209,84.9,0.3,403222,1996,244193,2684,60.6,0.7,918666,2425,601289,4867,65.5,0.5,505362,2702,359145,3150,71.1,0.6,719241,2366,494326,4137,68.7,0.5,719752,1070,540608,3585,75.1,0.5,707697,1045,555685,2788,78.5,0.4,678849,750,534380,2572,78.7,0.4,428470,564,250896,1921,58.6,0.4,263444,554,169610,1688,64.4,0.6,(X),(X),3098241,12593,58.0,0.2,(X),(X),2557369,12976,47.8,0.2,(X),(X),435315,5344,8.1,0.1,(X),(X),105557,3484,2.0,0.1
0400000US09,09,Connecticut,3541763,553,2543986,10715,71.8,0.3,(X),(X),2157209,11607,60.9,0.3,815413,1127,491862,4930,60.3,0.6,2172008,1353,1449438,7223,66.7,0.3,554342,461,215909,2719,38.9,0.5,(X),(X),449300,5128,12.7,0.1,815413,1127,52403,2053,6.4,0.3,2172008,1353,227007,3814,10.5,0.2,554342,461,169890,2408,30.6,0.4,(X),(X),46988,1909,1.3,0.1,815413,1127,10024,902,1.2,0.1,2172008,1353,21414,1192,1.0,0.1,554342,461,15550,853,2.8,0.2,515863,6777,127509,3427,24.7,0.7,2965407,6972,2365677,10894,79.8,0.3,1161660,5595,1026226,5655,88.3,0.3,224666,1374,139339,2228,62.0,0.9,590747,1762,404285,3553,68.4,0.6,335590,1775,244120,2841,72.7,0.7,384734,1462,263818,2686,68.6,0.6,427488,560,319907,2748,74.8,0.6,531421,533,422593,2127,79.5,0.4,492775,453,400219,2076,81.2,0.4,314624,365,197306,1925,62.7,0.6,239718,532,152399,1961,63.6,0.8,(X),(X),2079715,9441,58.7,0.3,(X),(X),1844346,10398,52.1,0.3,(X),(X),218237,4581,6.2,0.1,(X),(X),17132,1394,0.5,0.1
0400000US10,10,Delaware,929139,343,668353,4706,71.9,0.5,(X),(X),571605,5215,61.5,0.6,217408,620,126978,2169,58.4,1.0,555214,683,372415,3601,67.1,0.6,156517,199,72212,1347,46.1,0.9,(X),(X),109847,2709,11.8,0.3,217408,620,12471,1037,5.7,0.5,555214,683,48900,1785,8.8,0.3,156517,199,48476,1301,31.0,0.8,(X),(X),32748,1731,3.5,0.2,217408,620,5834,734,2.7,0.3,555214,683,13933,953,2.5,0.2,156517,199,12981,749,8.3,0.5,163301,3773,55014,2506,33.7,1.2,752159,3778,602235,4998,80.1,0.5,302582,2662,266097,2733,87.9,0.5,66514,707,39564,1178,59.5,1.7,150894,906,101565,1674,67.3,1.0,86228,1086,62809,1324,72.8,1.2,107506,896,73792,1216,68.6,1.0,108384,266,80923,1260,74.7,1.2,126998,233,100979,1077,79.5,0.9,126098,148,99726,1251,79.1,1.0,94724,200,66416,1062,70.1,1.1,61793,219,42579,841,68.9,1.3,(X),(X),514847,4771,55.4,0.5,(X),(X),461237,5334,49.6,0.6,(X),(X),43376,2165,4.7,0.2,(X),(X),10234,1004,1.1,0.1
0400000US11,11,District of Columbia,661858,300,458444,3370,69.3,0.5,(X),(X),386266,3649,58.4,0.6,127858,679,58161,1658,45.5,1.2,456779,781,287929,2638,63.0,0.6,77221,229,40176,953,52.0,1.2,(X),(X),88794,2694,13.4,0.4,127858,679,10773,1014,8.4,0.8,456779,781,60348,2219,13.2,0.5,77221,229,17673,774,22.9,1.0,(X),(X),12526,936,1.9,0.1,127858,679,2739,315,2.1,0.2,456779,781,6618,630,1.4,0.1,77221,229,3169,325,4.1,0.4,147286,4139,44433,1926,30.2,1.1,489065,4107,391011,3518,80.0,0.6,259455,2227,228714,2223,88.2,0.5,50549,463,29176,1017,57.7,1.9,77309,836,40165,1272,52.0,1.4,81368,1230,60132,1349,73.9,1.2,137350,1061,108182,1190,78.8,0.7,93878,284,70615,962,75.2,1.0,75463,286,52383,1005,69.4,1.3,68720,178,45606,894,66.4,1.3,44810,183,30301,608,67.6,1.4,32411,225,21884,608,67.5,1.9,(X),(X),373823,3412,56.5,0.5,(X),(X),318915,3779,48.2,0.6,(X),(X),50189,2234,7.6,0.3,(X),(X),4719,636,0.7,0.1
