GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Ancestry specified:,Margin of Error; Ancestry specified:,Estimate; Ancestry specified: - Single ancestry,Margin of Error; Ancestry specified: - Single ancestry,Estimate; Ancestry specified: - Multiple ancestry,Margin of Error; Ancestry specified: - Multiple ancestry,Estimate; Ancestry not specified:,Margin of Error; Ancestry not specified:,Estimate; Ancestry not specified: - Ancestry unclassified,Margin of Error; Ancestry not specified: - Ancestry unclassified,Estimate; Ancestry not specified: - Ancestry not reported,Margin of Error; Ancestry not specified: - Ancestry not reported
0400000US53,53,Washington,7169967,*****,6040779,11760,3630538,15790,2410241,14562,1129188,11760,140535,4179,988653,11046
0400000US54,54,West Virginia,1836843,*****,1255556,7069,833085,6168,422471,5596,581287,7069,44067,1930,537220,7630
0400000US55,55,Wisconsin,5763217,*****,4958272,8636,2837933,12391,2120339,9897,804945,8636,78615,2622,726330,7728
0400000US56,56,Wyoming,583200,*****,449139,3338,264830,3879,184309,3442,134061,3338,12244,1080,121817,3229
0400000US72,72,Puerto Rico,3468963,*****,3188486,5264,3110412,6033,78074,2735,280477,5264,4707,528,275770,5231
0400001US01,01,Alabama -- Urban,2871799,6531,2275450,9055,1792039,8213,483411,7321,596349,8604,60600,2686,535749,8584
0400001US02,02,Alaska -- Urban,488460,2165,410170,3630,249896,4011,160274,3658,78290,2990,10201,879,68089,2941
0400001US04,04,Arizona -- Urban,6109162,7665,5113029,11539,3623981,15568,1489048,12378,996133,10679,83733,2974,912400,10327
0400001US05,05,Arkansas -- Urban,1687579,5240,1295163,6801,975155,7161,320008,5514,392416,6433,35292,2044,357124,6276
0400001US06,06,California -- Urban,37068885,11787,32695201,55410,24847761,87079,7847440,38349,4373684,55310,306580,6527,4067104,51580
0400001US08,08,Colorado -- Urban,4683937,4534,3899749,8800,2402417,10917,1497332,8881,784188,8786,82244,2868,701944,9521
0400001US09,09,Connecticut -- Urban,3168523,3834,2797954,6950,1759399,10797,1038555,8869,370569,6528,26911,1500,343658,6383
0400001US10,10,Delaware -- Urban,779085,2827,662221,4117,457608,4139,204613,3996,116864,3747,11401,1004,105463,3718
